Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume USDT,tradecount
1.71944E+12,6/26/2024 23:00,SHIBUSDT,1.72E-05,1.72E-05,1.71E-05,1.71E-05,40179087243,689711.5513,9584
1.71944E+12,6/26/2024 22:00,SHIBUSDT,1.74E-05,1.74E-05,1.72E-05,1.72E-05,47489141334,821163.7931,14361
1.71944E+12,6/26/2024 21:00,SHIBUSDT,1.74E-05,1.74E-05,1.73E-05,1.74E-05,48097647907,834971.0511,10545
1.71943E+12,6/26/2024 20:00,SHIBUSDT,1.74E-05,1.75E-05,1.72E-05,1.74E-05,72571237867,1258948.258,24336
1.71943E+12,6/26/2024 19:00,SHIBUSDT,1.72E-05,1.74E-05,1.72E-05,1.74E-05,73368888339,1264543.983,22119
1.71942E+12,6/26/2024 18:00,SHIBUSDT,1.73E-05,1.73E-05,1.72E-05,1.72E-05,43780803366,752808.829,18058
1.71942E+12,6/26/2024 17:00,SHIBUSDT,1.73E-05,1.73E-05,1.71E-05,1.73E-05,1.17633E+11,2022710.352,44928
1.71942E+12,6/26/2024 16:00,SHIBUSDT,1.74E-05,1.75E-05,1.73E-05,1.73E-05,47544354142,825989.6226,28714
1.71941E+12,6/26/2024 15:00,SHIBUSDT,1.75E-05,1.75E-05,1.73E-05,1.74E-05,81767422075,1422181.263,41132
1.71941E+12,6/26/2024 14:00,SHIBUSDT,1.76E-05,1.77E-05,1.74E-05,1.75E-05,81614550432,1434199.39,43559
1.71941E+12,6/26/2024 13:00,SHIBUSDT,1.75E-05,1.77E-05,1.74E-05,1.76E-05,1.22124E+11,2140479.836,30330
1.7194E+12,6/26/2024 12:00,SHIBUSDT,1.75E-05,1.76E-05,1.74E-05,1.75E-05,59000721790,1031676.948,23258
1.7194E+12,6/26/2024 11:00,SHIBUSDT,1.75E-05,1.76E-05,1.74E-05,1.75E-05,83888250185,1468180.089,23026
1.7194E+12,6/26/2024 10:00,SHIBUSDT,1.76E-05,1.76E-05,1.75E-05,1.75E-05,87892129740,1538626.359,32825
1.71939E+12,6/26/2024 9:00,SHIBUSDT,1.76E-05,1.76E-05,1.75E-05,1.76E-05,80565287136,1414357.591,29097
1.71939E+12,6/26/2024 8:00,SHIBUSDT,1.77E-05,1.78E-05,1.75E-05,1.76E-05,58903133168,1038336.61,25002
1.71939E+12,6/26/2024 7:00,SHIBUSDT,1.76E-05,1.77E-05,1.76E-05,1.77E-05,52278472885,923726.5903,15415
1.71938E+12,6/26/2024 6:00,SHIBUSDT,1.76E-05,1.77E-05,1.75E-05,1.76E-05,63231601680,1113209.123,20453
1.71938E+12,6/26/2024 5:00,SHIBUSDT,1.77E-05,1.78E-05,1.76E-05,1.76E-05,61496453081,1085203.691,26264
1.71937E+12,6/26/2024 4:00,SHIBUSDT,1.79E-05,1.79E-05,1.76E-05,1.77E-05,58719396076,1041725.151,26213
1.71937E+12,6/26/2024 3:00,SHIBUSDT,1.79E-05,1.80E-05,1.78E-05,1.79E-05,72357042199,1291936.945,26168
1.71937E+12,6/26/2024 2:00,SHIBUSDT,1.80E-05,1.81E-05,1.79E-05,1.79E-05,1.09503E+11,1970545.414,29548
1.71936E+12,6/26/2024 1:00,SHIBUSDT,1.77E-05,1.80E-05,1.76E-05,1.80E-05,1.93699E+11,3456000.639,38015
1.71936E+12,6/25/2024 23:00,SHIBUSDT,1.77E-05,1.78E-05,1.76E-05,1.78E-05,84417162485,1489779.871,18523
1.71935E+12,6/25/2024 22:00,SHIBUSDT,1.78E-05,1.79E-05,1.77E-05,1.77E-05,48726509620,867116.1006,18583
1.71935E+12,6/25/2024 21:00,SHIBUSDT,1.79E-05,1.79E-05,1.78E-05,1.78E-05,49047467868,874929.697,12341
1.71935E+12,6/25/2024 20:00,SHIBUSDT,1.80E-05,1.80E-05,1.79E-05,1.79E-05,1.28277E+11,2306393.976,25872
1.71934E+12,6/25/2024 19:00,SHIBUSDT,1.82E-05,1.82E-05,1.78E-05,1.80E-05,2.05551E+11,3703059.97,49662
1.71934E+12,6/25/2024 18:00,SHIBUSDT,1.79E-05,1.82E-05,1.78E-05,1.82E-05,1.75836E+11,3164671.663,54577
1.71933E+12,6/25/2024 17:00,SHIBUSDT,1.78E-05,1.80E-05,1.78E-05,1.79E-05,80384632890,1441339.507,37278
