Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume USDT,tradecount
1.71953E+12,6/28/2024,SHIBUSDT,1.76E-05,1.81E-05,1.68E-05,1.70E-05,2.68359E+12,46602729.18,800477
1.71945E+12,6/27/2024,SHIBUSDT,1.71E-05,1.77E-05,1.69E-05,1.76E-05,2.19709E+12,38082416.52,632480
1.71936E+12,6/26/2024,SHIBUSDT,1.77E-05,1.81E-05,1.71E-05,1.71E-05,1.81184E+12,31801937.23,632092
1.71927E+12,6/25/2024,SHIBUSDT,1.70E-05,1.82E-05,1.70E-05,1.78E-05,3.03213E+12,53468507.5,904867
1.71919E+12,6/24/2024,SHIBUSDT,1.75E-05,1.77E-05,1.63E-05,1.70E-05,3.21369E+12,54107735.38,1370609
1.7191E+12,6/23/2024,SHIBUSDT,1.80E-05,1.82E-05,1.74E-05,1.75E-05,1.09934E+12,19645647.06,409775
1.71901E+12,6/22/2024,SHIBUSDT,1.79E-05,1.83E-05,1.77E-05,1.80E-05,9.46179E+11,17078454.35,404863
1.71893E+12,6/21/2024,SHIBUSDT,1.80E-05,1.83E-05,1.74E-05,1.79E-05,2.37552E+12,42371313.28,1142642
1.71884E+12,6/20/2024,SHIBUSDT,1.81E-05,1.90E-05,1.78E-05,1.80E-05,2.87204E+12,52640368.53,1250906
1.71876E+12,6/19/2024,SHIBUSDT,1.81E-05,1.89E-05,1.80E-05,1.81E-05,2.70189E+12,49803507.05,1134211
1.71867E+12,6/18/2024,SHIBUSDT,1.93E-05,1.94E-05,1.70E-05,1.81E-05,5.63908E+12,101021734.1,1885070
1.71858E+12,6/17/2024,SHIBUSDT,2.10E-05,2.11E-05,1.86E-05,1.93E-05,3.39474E+12,66932814.17,1409313
1.7185E+12,6/16/2024,SHIBUSDT,2.08E-05,2.11E-05,2.04E-05,2.10E-05,1.07279E+12,22315549.57,491123
1.71841E+12,6/15/2024,SHIBUSDT,2.03E-05,2.10E-05,2.00E-05,2.08E-05,1.48217E+12,30629986.42,660531
1.71832E+12,6/14/2024,SHIBUSDT,2.12E-05,2.19E-05,1.96E-05,2.03E-05,4.20786E+12,86758603.28,1216186
1.71824E+12,6/13/2024,SHIBUSDT,2.22E-05,2.22E-05,2.10E-05,2.12E-05,2.79248E+12,60083267.94,1061178
1.71815E+12,6/12/2024,SHIBUSDT,2.16E-05,2.32E-05,2.11E-05,2.22E-05,6.06085E+12,135589622.7,1776089
1.71806E+12,6/11/2024,SHIBUSDT,2.29E-05,2.30E-05,2.11E-05,2.16E-05,4.51421E+12,99339849.04,1385835
1.71798E+12,6/10/2024,SHIBUSDT,2.35E-05,2.36E-05,2.27E-05,2.29E-05,2.05444E+12,47496032.92,824028
1.71789E+12,6/9/2024,SHIBUSDT,2.32E-05,2.37E-05,2.30E-05,2.35E-05,1.39323E+12,32425655.99,569894
1.7178E+12,6/8/2024,SHIBUSDT,2.37E-05,2.42E-05,2.30E-05,2.32E-05,2.74041E+12,64521731.13,923912
1.71772E+12,6/7/2024,SHIBUSDT,2.52E-05,2.55E-05,2.15E-05,2.37E-05,6.19045E+12,147296944.3,1281270
