Unix,Date,Symbol,Open,High,Low,Close,Volume TRX,Volume USDT,tradecount
1.7248E+12,8/28/2024,TRXUSDT,0.158,0.1598,0.1572,0.1583,515806523.9,81647643.34,206242
1.72472E+12,8/27/2024,TRXUSDT,0.1617,0.1636,0.1564,0.1579,751242899.9,120910910.7,246640
1.72463E+12,8/26/2024,TRXUSDT,0.1663,0.1687,0.1615,0.1616,919890819.7,152198605.5,315250
1.72454E+12,8/25/2024,TRXUSDT,0.1588,0.17,0.1566,0.1664,1060267262,172527160.6,289073
1.72446E+12,8/24/2024,TRXUSDT,0.1582,0.1641,0.1576,0.1589,778202375,124517402.1,236339
1.72437E+12,8/23/2024,TRXUSDT,0.1554,0.1592,0.1535,0.1583,742853837.2,116273155.5,239101
1.72428E+12,8/22/2024,TRXUSDT,0.1538,0.1641,0.1481,0.1554,1446099169,222920069.7,436407
1.7242E+12,8/21/2024,TRXUSDT,0.1613,0.1666,0.1532,0.1539,1797050559,288438164.3,566628
1.72411E+12,8/20/2024,TRXUSDT,0.1432,0.1618,0.1421,0.1613,1634114803,247930599.3,511519
1.72403E+12,8/19/2024,TRXUSDT,0.1351,0.1436,0.134,0.1432,791856905.5,110191927.3,216860
1.72394E+12,8/18/2024,TRXUSDT,0.1349,0.1356,0.1332,0.1351,213436951.9,28669973.16,88821
1.72385E+12,8/17/2024,TRXUSDT,0.1341,0.1362,0.1332,0.1349,314171411.2,42398408.6,104903
1.72377E+12,8/16/2024,TRXUSDT,0.1301,0.1342,0.1293,0.1341,377074980.5,49669608.13,116932
1.72368E+12,8/15/2024,TRXUSDT,0.1303,0.1321,0.1297,0.1302,282043999.4,36951872.17,91256
1.72359E+12,8/14/2024,TRXUSDT,0.1287,0.1309,0.1285,0.1304,297311104.5,38673143.86,109942
1.72351E+12,8/13/2024,TRXUSDT,0.1266,0.129,0.1256,0.1287,207970557.4,26464083.11,75086
1.72342E+12,8/12/2024,TRXUSDT,0.1277,0.1282,0.1261,0.1267,236924238,30134319.47,108405
1.72333E+12,8/11/2024,TRXUSDT,0.1291,0.1294,0.1273,0.1277,137025682.3,17602293.92,65186
1.72325E+12,8/10/2024,TRXUSDT,0.1283,0.1297,0.1282,0.1291,176773749.3,22802304.07,114624
1.72316E+12,8/9/2024,TRXUSDT,0.1271,0.1283,0.1263,0.1283,208923620.3,26552744.25,88763
1.72308E+12,8/8/2024,TRXUSDT,0.1247,0.1271,0.1242,0.127,219561658.5,27634064.82,89890
1.72299E+12,8/7/2024,TRXUSDT,0.1234,0.1254,0.1233,0.1247,269352553.2,33469828.85,92267
1.7229E+12,8/6/2024,TRXUSDT,0.1214,0.1238,0.1213,0.1234,337549120,41423320.58,90358
1.72282E+12,8/5/2024,TRXUSDT,0.1264,0.1266,0.117,0.1215,1108845064,134302457.3,239765
1.72273E+12,8/4/2024,TRXUSDT,0.1255,0.1287,0.125,0.1264,396122659.6,50291382.69,103350
1.72264E+12,8/3/2024,TRXUSDT,0.1236,0.1255,0.1229,0.1255,280830108.1,34989448.93,76574
1.72256E+12,8/2/2024,TRXUSDT,0.1283,0.1284,0.1229,0.1236,322541795.8,40559902.54,87198
1.72247E+12,8/1/2024,TRXUSDT,0.1287,0.1298,0.127,0.1283,279093902.1,35870808.82,81808
1.72238E+12,7/31/2024,TRXUSDT,0.133,0.1331,0.1285,0.1287,260191158.8,34004576.21,89299
1.7223E+12,7/30/2024,TRXUSDT,0.1375,0.1384,0.1324,0.133,212250651.4,28724707.14,89159
1.72221E+12,7/29/2024,TRXUSDT,0.1386,0.1394,0.135,0.1375,332448636.5,45653192.37,110388
1.72212E+12,7/28/2024,TRXUSDT,0.1373,0.1392,0.1368,0.1386,147742665,20387085.69,74197
1.72204E+12,7/27/2024,TRXUSDT,0.1375,0.1377,0.1364,0.1372,122695299.7,16835560.97,64940
1.72195E+12,7/26/2024,TRXUSDT,0.1355,0.1377,0.1355,0.1375,152403339.7,20850382.14,75552
1.72187E+12,7/25/2024,TRXUSDT,0.1343,0.1364,0.1334,0.1356,220592447.9,29804563.34,96713
1.72178E+12,7/24/2024,TRXUSDT,0.1341,0.1348,0.1335,0.1343,163985425.4,21993820.3,77250
1.72169E+12,7/23/2024,TRXUSDT,0.1324,0.136,0.1311,0.134,208780970.2,27688424.27,93899
1.72161E+12,7/22/2024,TRXUSDT,0.13431,0.13724,0.1317,0.1324,327431074.9,44181834.96,139772
1.72152E+12,7/21/2024,TRXUSDT,0.13467,0.13496,0.13371,0.13431,130955807.2,17588736.25,76828
1.72143E+12,7/20/2024,TRXUSDT,0.13466,0.13478,0.13369,0.13468,142800377.4,19190308.95,81992
1.72135E+12,7/19/2024,TRXUSDT,0.13449,0.1358,0.13409,0.13466,216686704.1,29215522.36,114590
1.72126E+12,7/18/2024,TRXUSDT,0.13358,0.13466,0.13326,0.13449,177394565.4,23774703.71,109532
1.72117E+12,7/17/2024,TRXUSDT,0.13402,0.1351,0.13354,0.13358,203733503.4,27363731.61,108450
1.72109E+12,7/16/2024,TRXUSDT,0.1373,0.13742,0.13284,0.13402,372905934.9,50159589.06,188917
1.721E+12,7/15/2024,TRXUSDT,0.1376,0.13889,0.13658,0.1373,257606928.1,35504651.98,153970
1.72092E+12,7/14/2024,TRXUSDT,0.13945,0.14018,0.13733,0.13761,212378762.4,29372567.64,137090
1.72083E+12,7/13/2024,TRXUSDT,0.13727,0.14154,0.13725,0.13946,358179579.8,50035961.02,184660
1.72074E+12,7/12/2024,TRXUSDT,0.13435,0.13727,0.13395,0.13727,245248963.9,33333390.7,141000
1.72066E+12,7/11/2024,TRXUSDT,0.13147,0.13534,0.13143,0.13435,321622059.9,43095732.13,180272
1.72057E+12,7/10/2024,TRXUSDT,0.12996,0.13183,0.12904,0.13147,211471489.9,27597451.4,115888
1.72048E+12,7/9/2024,TRXUSDT,0.12612,0.12996,0.12611,0.12996,253267933.8,32532512.17,135324
1.7204E+12,7/8/2024,TRXUSDT,0.12464,0.1264,0.12284,0.12612,421581686.4,52641833.62,165664
1.72031E+12,7/7/2024,TRXUSDT,0.12991,0.13091,0.12452,0.12466,332256993,42647024.37,153709
1.72022E+12,7/6/2024,TRXUSDT,0.12684,0.13028,0.12636,0.12991,265243306.7,34156048.98,135253
1.72014E+12,7/5/2024,TRXUSDT,0.1272,0.12777,0.12117,0.12684,857699710.6,107189893.4,298532
1.72005E+12,7/4/2024,TRXUSDT,0.12871,0.129,0.12567,0.1272,423820902.3,53983188.49,192839
1.71996E+12,7/3/2024,TRXUSDT,0.12923,0.12997,0.12824,0.1287,297969097.1,38484811.36,133117
1.71988E+12,7/2/2024,TRXUSDT,0.12782,0.12933,0.12762,0.12923,178693333.6,22944043.21,105006
1.71979E+12,7/1/2024,TRXUSDT,0.1247,0.12984,0.12465,0.12781,231139017.5,29461244.94,130271
1.71971E+12,6/30/2024,TRXUSDT,0.12552,0.12585,0.12466,0.1247,150090620.9,18812816.42,90157
1.71962E+12,6/29/2024,TRXUSDT,0.12321,0.12623,0.12299,0.12553,229372118.8,28665579.68,116493
1.71953E+12,6/28/2024,TRXUSDT,0.12199,0.12382,0.12179,0.12321,198664767.9,24395875.11,116106
1.71945E+12,6/27/2024,TRXUSDT,0.12267,0.12372,0.12197,0.12201,197168718.7,24231317.01,95399
1.71936E+12,6/26/2024,TRXUSDT,0.1219,0.125,0.12182,0.12268,304171429.4,37537068.12,137834
1.71927E+12,6/25/2024,TRXUSDT,0.11909,0.12218,0.11908,0.12189,233319740.6,28242658.5,108944
1.71919E+12,6/24/2024,TRXUSDT,0.11924,0.11992,0.11772,0.11909,331140116.7,39380946.83,132411
1.7191E+12,6/23/2024,TRXUSDT,0.11967,0.1205,0.11909,0.11924,148497951.4,17794150.34,82224
1.71901E+12,6/22/2024,TRXUSDT,0.11835,0.12,0.11581,0.11966,176265342.2,20986317.83,90610
1.71893E+12,6/21/2024,TRXUSDT,0.1168,0.11874,0.1162,0.11835,293348609.2,34525753.46,119102
1.71884E+12,6/20/2024,TRXUSDT,0.11583,0.11707,0.11569,0.11679,193653904.4,22568755.47,100904
1.71876E+12,6/19/2024,TRXUSDT,0.11544,0.11719,0.11517,0.11582,253885288.7,29549603.44,113024
1.71867E+12,6/18/2024,TRXUSDT,0.11678,0.11682,0.11279,0.11544,388602023.7,44681800.55,166185
1.71858E+12,6/17/2024,TRXUSDT,0.1173,0.11812,0.11645,0.11678,364998698.3,42782343.23,139829
1.7185E+12,6/16/2024,TRXUSDT,0.1153,0.11775,0.11501,0.1173,178700645.4,20723397.98,93861
1.71841E+12,6/15/2024,TRXUSDT,0.1165,0.11665,0.11489,0.1153,146272466.9,16898850.21,93448
1.71832E+12,6/14/2024,TRXUSDT,0.11696,0.11712,0.1154,0.1165,322864739.2,37521440.97,117374
1.71824E+12,6/13/2024,TRXUSDT,0.11649,0.11714,0.1159,0.11696,268555460.1,31310947.33,121189
1.71815E+12,6/12/2024,TRXUSDT,0.1166,0.11786,0.11575,0.11649,419289314,48994247.55,146370
1.71806E+12,6/11/2024,TRXUSDT,0.11763,0.11797,0.11595,0.11658,372905066,43608831.02,130026
1.71798E+12,6/10/2024,TRXUSDT,0.11688,0.11779,0.116,0.11763,298271815.2,34856152.13,116782
1.71789E+12,6/9/2024,TRXUSDT,0.11479,0.11696,0.11371,0.11688,269431498.5,31157794.59,100432
1.7178E+12,6/8/2024,TRXUSDT,0.11269,0.11516,0.1122,0.11479,348363545,39541932.38,107628
1.71772E+12,6/7/2024,TRXUSDT,0.11479,0.11516,0.1111,0.11268,394042916.9,44760185.4,133707
1.71763E+12,6/6/2024,TRXUSDT,0.1146,0.11521,0.11397,0.11479,208306481.6,23886043.4,87560
1.71755E+12,6/5/2024,TRXUSDT,0.11446,0.1148,0.11363,0.11459,186205840,21287345.55,83581
1.71746E+12,6/4/2024,TRXUSDT,0.11337,0.11458,0.11311,0.11446,219237298.4,24958278.02,87767
1.71737E+12,6/3/2024,TRXUSDT,0.11477,0.11519,0.11288,0.11338,268620881.3,30529372.99,98057
1.71729E+12,6/2/2024,TRXUSDT,0.11261,0.11526,0.11252,0.11477,221077821.5,25217481.94,82175
1.7172E+12,6/1/2024,TRXUSDT,0.11212,0.11296,0.1109,0.11262,165186405.3,18482279.48,73298
1.71711E+12,5/31/2024,TRXUSDT,0.11199,0.11277,0.11096,0.11213,252867056,28283842.77,92692
1.71703E+12,5/30/2024,TRXUSDT,0.1121,0.11225,0.11041,0.11198,235323559.1,26236614.41,92598
1.71694E+12,5/29/2024,TRXUSDT,0.11118,0.11245,0.11096,0.1121,256588322.2,28670545.79,93201
1.71685E+12,5/28/2024,TRXUSDT,0.1125,0.11258,0.11032,0.11118,328778506.6,36594672.16,107758
1.71677E+12,5/27/2024,TRXUSDT,0.11312,0.11325,0.11085,0.1125,359209797.7,40249772.85,117507
1.71668E+12,5/26/2024,TRXUSDT,0.11378,0.11411,0.11272,0.11311,176476714,20047310.81,63126
1.7166E+12,5/25/2024,TRXUSDT,0.11547,0.11605,0.11316,0.11378,277629797.1,31708360.36,92597
1.71651E+12,5/24/2024,TRXUSDT,0.11532,0.11571,0.11329,0.11547,323669789.1,37088363.06,102422
1.71642E+12,5/23/2024,TRXUSDT,0.12007,0.12007,0.11379,0.11532,365698716,42681563.88,136446
1.71634E+12,5/22/2024,TRXUSDT,0.12361,0.12384,0.12001,0.12007,251886546.2,30709925.19,98363
1.71625E+12,5/21/2024,TRXUSDT,0.12442,0.12459,0.12277,0.12361,288558071.5,35674694.97,95313
1.71616E+12,5/20/2024,TRXUSDT,0.12116,0.12443,0.12092,0.12442,281818651.6,34504255.39,96607
1.71608E+12,5/19/2024,TRXUSDT,0.12299,0.12316,0.12053,0.12117,193241530.9,23497235.47,96938
1.71599E+12,5/18/2024,TRXUSDT,0.12434,0.12454,0.12296,0.12299,167537381.9,20729162.81,108999
1.7159E+12,5/17/2024,TRXUSDT,0.125,0.12511,0.12395,0.12434,236159593.4,29406080.04,117447
1.71582E+12,5/16/2024,TRXUSDT,0.12633,0.12666,0.12418,0.125,306505678.5,38342092.09,145930
1.71573E+12,5/15/2024,TRXUSDT,0.12547,0.12677,0.1253,0.12633,180402338.1,22701855.68,85826
1.71564E+12,5/14/2024,TRXUSDT,0.12561,0.12588,0.12474,0.12546,198863514.6,24905029.72,89112
1.71556E+12,5/13/2024,TRXUSDT,0.12738,0.12756,0.1256,0.12561,265134967.9,33514777.67,100814
1.71547E+12,5/12/2024,TRXUSDT,0.12638,0.1274,0.12636,0.12738,122535117,15542237.31,65044
1.71539E+12,5/11/2024,TRXUSDT,0.12741,0.12767,0.12588,0.12638,189065806.6,23959783.49,89219
1.7153E+12,5/10/2024,TRXUSDT,0.12621,0.1275,0.12407,0.12741,393031904.4,49512547.59,133758
1.71521E+12,5/9/2024,TRXUSDT,0.12292,0.12712,0.12289,0.1262,435767372.9,54628785.22,152767
1.71513E+12,5/8/2024,TRXUSDT,0.12052,0.12375,0.12025,0.12293,473851497.3,57815626.89,153060
1.71504E+12,5/7/2024,TRXUSDT,0.11864,0.1216,0.11816,0.12051,325330205,38988206.02,118283
1.71495E+12,5/6/2024,TRXUSDT,0.12107,0.12202,0.11832,0.11864,332605073.7,39904394.44,115295
1.71487E+12,5/5/2024,TRXUSDT,0.12227,0.12232,0.12073,0.12107,194252496.2,23560316.63,88284
1.71478E+12,5/4/2024,TRXUSDT,0.1227,0.12356,0.12226,0.12226,208909065.8,25661914.53,90222
1.71469E+12,5/3/2024,TRXUSDT,0.12226,0.12385,0.12185,0.1227,267389136.6,32818717.28,94425
1.71461E+12,5/2/2024,TRXUSDT,0.12044,0.12338,0.12007,0.12226,402525946.6,49149572.14,130066
1.71452E+12,5/1/2024,TRXUSDT,0.11956,0.12106,0.11718,0.12045,607000290,72534223.29,164465
1.71444E+12,4/30/2024,TRXUSDT,0.11902,0.12086,0.1176,0.11956,687949491.4,81977367.95,160711
1.71435E+12,4/29/2024,TRXUSDT,0.12124,0.12144,0.11773,0.11901,368356688.5,43865929.8,122117
1.71426E+12,4/28/2024,TRXUSDT,0.11975,0.12282,0.11975,0.12124,248969303.9,30085089.92,95586
1.71418E+12,4/27/2024,TRXUSDT,0.12015,0.12096,0.11857,0.11975,340706688.6,40830314.69,107408
1.71409E+12,4/26/2024,TRXUSDT,0.11722,0.12057,0.11653,0.12014,422599435.2,50049029.16,132611
1.714E+12,4/25/2024,TRXUSDT,0.1133,0.11744,0.11314,0.11722,438421753.3,50517002.5,138814
1.71392E+12,4/24/2024,TRXUSDT,0.11322,0.11414,0.11235,0.11329,371820986.9,42182750.32,112917
