ticker,date,time,title,compound
BITO,2024-07-08,06:01PM,"S&P 500, bitcoin and the election, market takeaways: Asking for a Trend",0.0
BITO,2024-10-19,N/A,Why Trump is 'very aligned' with the bitcoin industry: Expert,0.0
BITO,2024-06-07,08:30AM,ProShares Launches ETFs Targeting 2x and -2x Daily Ether Returns,0.0
BITO,2024-04-15,04:32PM,U.S. ETF Assets Hit $8.9T Record on Market Gains: ETFGI,0.4767
BITO,2024-04-02,08:30AM,ProShares Launches First ETF to Target 2x Daily Bitcoin Returns,0.0
BITO,2024-01-05,07:00AM,"'Normalized corruption': RFK Jr. says Sam Bankman-Fried allegedly donating $100M of stolen funds to politicians, having charges dropped is worse than fraud itself. 3 legit ways to own crypto",-0.9042
BITO,2023-12-28,05:12PM,"ARK's crypto moves, Boeing, Mullen Automotive: Trending tickers",0.0
BITO,2024-10-19,N/A,Bitcoin mining stocks tumble after double-digital gains,0.34
BITO,2023-12-19,07:00AM,This 'Crypto King' was accused of fraud and owes investors millions of dollars  but he's still 'living large' despite being forced into bankruptcy. Here are 3 legit ways to buy Bitcoin,0.0567
BITO,2023-11-02,08:30AM,ProShares Launches Worlds First Short Ether-Linked ETF,0.0
BITO,2023-10-31,01:00PM,ETF 360: ProShares Assembles a Suite of Crypto Products,0.0
BITO,2023-10-24,03:20PM,What Would a Spot Bitcoin ETF Approval Mean for Investors?,0.4767
BITO,2023-09-22,01:59AM,"Scaramucci remains bullish on Bitcoin, sees Wall Street adoption as key driver",0.0
BITO,2023-08-18,10:16AM,"Stocks today: Bitcoin tumbles, options expiration",0.0
BITO,2023-06-26,04:11PM,Wall Street backing crypto in bitcoin ETF push,0.0258
BITO,2023-05-16,05:57PM,Paul Tudor Jones Thinks Stocks Will Rally and Interest Rates Peaked,0.4588
BITO,2023-04-12,04:10PM,Bitcoin ETFs sounding like an interesting safe play amid financial uncertainty: Expert,0.7964
BITO,2023-04-04,09:42AM,"Stocks trade mixed at the open, oil extends rally on OPEC+ production cuts",-0.1779
BITO,2023-03-15,03:30PM,Grayscale on the 'Holy Grail of Bitcoin ETFs: Spot Bitcoin ETF,0.0
BITO,2023-02-23,11:45AM,This Year's Most Shorted ETFs,0.0
BITO,2023-01-18,04:21PM,Crypto ETFs seeing assets trickle into space again after being shunned by investors: Expert,0.1779
BITO,2022-11-11,11:25AM,"Crypto: Lack of segregation can be a real challenge, strategist says",-0.25
